ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status
ETH,Ethiopia,Ilubabor,2018,3,0.541316812164938,original
ETH,Ethiopia,Jimma,2018,3,0.4974344693484716,original
ETH,Ethiopia,Keffa,2018,3,0.6101511021542108,original
ETH,Ethiopia,Kelem Wellega,2018,3,0.4537409187574369,original
ETH,Ethiopia,Mehakelegnaw,2018,3,0.1914559907132956,original
ETH,Ethiopia,Mirab Arsi,2018,3,0.4307037170148104,original
ETH,Ethiopia,Mirab Gojjam,2018,3,0.2767396731686981,original
ETH,Ethiopia,Mirab Hararghe,2018,3,0.3347542469154383,original
ETH,Ethiopia,Mirab Shewa,2018,3,0.3387621256573915,original
ETH,Ethiopia,Mirab Welega,2018,3,0.435867888520879,original
ETH,Ethiopia,Misraq Gojjam,2018,3,0.2563398855534081,original
ETH,Ethiopia,Misraq Harerge,2018,3,0.3442384154374907,original
ETH,Ethiopia,Misraq Shewa,2018,3,0.2320771446886224,original
ETH,Ethiopia,Misraq Wellega,2018,3,0.3713281501020087,original
ETH,Ethiopia,Misraqawi,2018,3,0.2005102403412507,original
ETH,Ethiopia,North Shewa,2018,3,0.2691542581809658,original
ETH,Ethiopia,Semen Gondar,2018,3,0.2387471392809251,original
ETH,Ethiopia,Semen Wello,2018,3,0.2515751443660952,original
ETH,Ethiopia,Sidama,2018,3,0.5373110189428923,original
ETH,Ethiopia,Silti,2018,3,0.3473296979243885,original
ETH,Ethiopia,Wag Himra,2018,3,0.1818132505830729,original
ETH,Ethiopia,Agew Awi,2018,4,0.3181247025424513,original
ETH,Ethiopia,Alaba,2018,4,0.4252618157821618,original
ETH,Ethiopia,Arsi,2018,4,0.5204921641684517,original
ETH,Ethiopia,Bale,2018,4,0.6167004858297822,original
ETH,Ethiopia,Bench Maji,2018,4,0.7031743977267019,original
ETH,Ethiopia,Borena,2018,4,0.6001445864628774,original
ETH,Ethiopia,Debub Gondar,2018,4,0.2126409804823004,original
ETH,Ethiopia,Debub Mirab Shewa,2018,4,0.3699725365295141,original
ETH,Ethiopia,Debub Omo,2018,4,0.594759555596292,original
ETH,Ethiopia,Debub Wollo,2018,4,0.3127441059666464,original
ETH,Ethiopia,Debubawi,2018,4,0.2695391771953641,original
ETH,Ethiopia,Fafan,2018,4,0.3041656299037745,original
ETH,Ethiopia,Gamo Gofa,2018,4,0.5895033360694782,original
ETH,Ethiopia,Guji,2018,4,0.6962085159279157,original
ETH,Ethiopia,Gurage,2018,4,0.5164867748930788,original
ETH,Ethiopia,Hadiya,2018,4,0.5608057701767623,original
ETH,Ethiopia,Horo Guduru,2018,4,0.3757097006358176,original
ETH,Ethiopia,Ilubabor,2018,4,0.6302834255036033,original
ETH,Ethiopia,Jimma,2018,4,0.6047884459552043,original
ETH,Ethiopia,Keffa,2018,4,0.7452380305825022,original
ETH,Ethiopia,Kelem Wellega,2018,4,0.5552233081850173,original
ETH,Ethiopia,Mehakelegnaw,2018,4,0.1923485410632373,original
ETH,Ethiopia,Mirab Arsi,2018,4,0.5422919305657783,original
ETH,Ethiopia,Mirab Gojjam,2018,4,0.2742446725135286,original
ETH,Ethiopia,Mirab Hararghe,2018,4,0.5057214397587063,original
ETH,Ethiopia,Mirab Shewa,2018,4,0.3924576791928714,original
ETH,Ethiopia,Mirab Welega,2018,4,0.4833495041145962,original
ETH,Ethiopia,Misraq Gojjam,2018,4,0.263604771523289,original
ETH,Ethiopia,Misraq Harerge,2018,4,0.5017690713160532,original
ETH,Ethiopia,Misraq Shewa,2018,4,0.3118594361639419,original
ETH,Ethiopia,Misraq Wellega,2018,4,0.426391920407693,original
ETH,Ethiopia,Misraqawi,2018,4,0.2324927127179796,original
ETH,Ethiopia,North Shewa,2018,4,0.3271321841075347,original
ETH,Ethiopia,Semen Gondar,2018,4,0.241452559241185,original
ETH,Ethiopia,Semen Wello,2018,4,0.3029227576100518,original
ETH,Ethiopia,Sidama,2018,4,0.668680693759476,original
ETH,Ethiopia,Silti,2018,4,0.4760975560600445,original
ETH,Ethiopia,Wag Himra,2018,4,0.185824226192829,original
ETH,Ethiopia,Agew Awi,2018,5,0.4115080833013486,original
ETH,Ethiopia,Alaba,2018,5,0.4300796262850793,original
ETH,Ethiopia,Arsi,2018,5,0.5447157441303965,original
ETH,Ethiopia,Bale,2018,5,0.5391428385619451,original
ETH,Ethiopia,Bench Maji,2018,5,0.7199495193758493,original
ETH,Ethiopia,Borena,2018,5,0.5035498642946429,original
ETH,Ethiopia,Debub Gondar,2018,5,0.2136100961257157,original
ETH,Ethiopia,Debub Mirab Shewa,2018,5,0.3684540491421923,original
ETH,Ethiopia,Debub Omo,2018,5,0.6260549117840963,original
ETH,Ethiopia,Debub Wollo,2018,5,0.3052510527148964,original
ETH,Ethiopia,Debubawi,2018,5,0.2456131779842912,original
ETH,Ethiopia,Fafan,2018,5,0.3725548280286208,original
ETH,Ethiopia,Gamo Gofa,2018,5,0.5773219454925353,original
ETH,Ethiopia,Guji,2018,5,0.4394121378701807,original
ETH,Ethiopia,Gurage,2018,5,0.4834254211593677,original
ETH,Ethiopia,Hadiya,2018,5,0.547318228773817,original
ETH,Ethiopia,Horo Guduru,2018,5,0.4280983743965617,original
ETH,Ethiopia,Ilubabor,2018,5,0.68857185512218,original
ETH,Ethiopia,Jimma,2018,5,0.5902298648199222,original
ETH,Ethiopia,Keffa,2018,5,0.6863351937878577,original
ETH,Ethiopia,Kelem Wellega,2018,5,0.6447286342692223,original
ETH,Ethiopia,Mehakelegnaw,2018,5,0.1805007652514961,original
ETH,Ethiopia,Mirab Arsi,2018,5,0.5364630599593112,original
ETH,Ethiopia,Mirab Gojjam,2018,5,0.312559388979133,original
ETH,Ethiopia,Mirab Hararghe,2018,5,0.5272618003310258,original
ETH,Ethiopia,Mirab Shewa,2018,5,0.4102345546122756,original
ETH,Ethiopia,Mirab Welega,2018,5,0.57725573306614,original
ETH,Ethiopia,Misraq Gojjam,2018,5,0.2760163536183114,original
ETH,Ethiopia,Misraq Harerge,2018,5,0.5156560494534348,original
ETH,Ethiopia,Misraq Shewa,2018,5,0.3204881763127355,original
ETH,Ethiopia,Misraq Wellega,2018,5,0.5121675369407666,original
ETH,Ethiopia,Misraqawi,2018,5,0.2198986085012024,original
ETH,Ethiopia,North Shewa,2018,5,0.3197820443954633,original
ETH,Ethiopia,Semen Gondar,2018,5,0.2740471052523178,original
ETH,Ethiopia,Semen Wello,2018,5,0.285761622800654,original
ETH,Ethiopia,Sidama,2018,5,0.6027398828921455,original
ETH,Ethiopia,Silti,2018,5,0.4438041512231281,original
ETH,Ethiopia,Wag Himra,2018,5,0.1684677135628729,original
ETH,Ethiopia,Agew Awi,2018,6,0.5768121735907992,original
ETH,Ethiopia,Alaba,2018,6,0.4861880244512366,original
ETH,Ethiopia,Arsi,2018,6,0.5283800607725984,original
ETH,Ethiopia,Bale,2018,6,0.4595076302692791,original
ETH,Ethiopia,Bench Maji,2018,6,0.7206641128728066,original
ETH,Ethiopia,Borena,2018,6,0.4528132395351769,original
ETH,Ethiopia,Debub Gondar,2018,6,0.3394044180214823,original
ETH,Ethiopia,Debub Mirab Shewa,2018,6,0.4549463979354465,original
