ISO3,COUNTRY,ADM_NAME,year,month,temp_c,pet_mm,soil_0_7cm,soil_7_28cm,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Agew Awi,2025,1,21.52948466185104,247.86584063715003,0.2080268548620336,0.2756406284905246,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2025,1,19.53390464591539,274.59999296557373,0.1892208052184859,0.2488093390875085,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2025,1,16.94796204590725,304.36933659927547,0.1950891562205354,0.2436334117806334,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2025,1,22.908039544909496,325.7210161336656,0.1456705730159946,0.2260189120191209,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2025,1,25.801349671575128,515.7535813072643,0.2419927824980662,0.2777585243108435,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2025,1,25.20844875812409,318.9629453422495,0.1401669683397712,0.2406944632069915,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2025,1,18.380095569512623,204.52574601674792,0.1670624673282177,0.2400495459004969,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2025,1,16.481499338668215,227.23404147434167,0.2260529763114618,0.2834077259573179,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2025,1,28.528981265444564,339.3030348412569,0.154735434262777,0.2168095543101719,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2025,1,15.848648858201202,192.01463871999,0.1758506200915042,0.2552241321131618,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2025,1,16.436396271851727,203.80724446914448,0.134949847627482,0.1888661976411595,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2025,1,18.420969116246376,262.88081860592115,0.1214072277561921,0.1882194116222279,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2025,1,22.594275641005986,372.1238946053915,0.1905408662384842,0.2207536175119399,original,691442.4764312886,300949.4333249477
