ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,North Shewa,2005,1,0.0643524610448465,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2005,1,0.0824138789092192,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,1,0.0476224388838815,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,1,0.2124048644673684,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,1,0.3797043779047366,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2005,1,0.4324692868694816,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2005,2,-0.6384717301597237,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,2,0.3914597810131229,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,2,0.1695833715877491,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,2,-0.7448106801937884,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,2,-0.0653447671327453,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,2,-0.2545433171667741,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,2,0.0725617480334061,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,2,-0.2917770079517965,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,2,-0.6937667948720749,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,2,0.4810308904063997,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,2,0.7029367106426382,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,2,-1.7755894735671054,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,2,-0.111105119140682,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2005,2,-0.1727651348832664,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,2,0.3829104324593347,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,2,0.3403403753402576,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,2,0.1781656782861267,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,2,0.1004203167008138,original,923454.0637086349,147288.1625894781
