ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Agew Awi,2018,1,0.3779769114708104,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2018,1,0.2588262642400667,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2018,1,0.3052555118514503,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2018,1,0.3272561459112432,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2018,1,0.4425989721118544,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2018,1,0.3165695956263135,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2018,1,0.26252069859645,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2018,1,0.3046511558592614,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2018,1,0.3378950204809759,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2018,1,0.2928929916512378,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2018,1,0.2524159473507128,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2018,1,0.2008169272144091,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2018,1,0.4156125127402632,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2018,1,0.4330496196751299,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2018,1,0.3834156084974804,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2018,1,0.3484310071163874,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2018,1,0.4020145318203229,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2018,1,0.5858163187527399,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2018,1,0.5285948707574444,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2018,1,0.5802941527758795,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2018,1,0.4915696720170129,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2018,1,0.2192828748210844,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2018,1,0.3800150077573164,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2018,1,0.3407898253089047,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2018,1,0.2816537726041637,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2018,1,0.3644280536525225,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2018,1,0.4934721279003956,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2018,1,0.3013009074931694,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2018,1,0.277492075516731,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2018,1,0.2399669148096422,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2018,1,0.4371442849582144,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2018,1,0.23501425980908,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2018,1,0.2850652952176815,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2018,1,0.2918027542448563,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2018,1,0.2868045181509533,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2018,1,0.4857563172207014,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2018,1,0.2911898721275017,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2018,1,0.2096024172826816,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2018,2,0.3417022817210848,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2018,2,0.2527468532925813,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2018,2,0.2901350420417681,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2018,2,0.3038156917536149,original,747946.3065913733,681361.231348667
