ISO3,COUNTRY,ADM_NAME,year,month,precip_mm,lat_wgs84,lon_wgs84
ETH,Ethiopia,Agew Awi,2015,1,6.029468485701526,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2015,1,31.0369409456224,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2015,1,8.043745094278403,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2015,1,4.667556682833999,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2015,1,27.10605240201967,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2015,1,11.559617032640828,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2015,1,5.073819132618854,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2015,1,8.311270689294417,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2015,1,16.039205320369867,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2015,1,13.286555393500077,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2015,1,7.895770377378287,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2015,1,1.0432778607972482,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2015,1,40.561949549988526,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2015,1,9.806904399289492,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2015,1,17.9169875389002,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2015,1,25.853209686119804,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2015,1,2.823889357350916,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2015,1,17.29673880413717,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2015,1,29.7712373297016,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2015,1,38.83396504782272,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2015,1,4.409568981761078,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2015,1,2.4679191899640327,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2015,1,17.100517230998562,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2015,1,5.281642132641816,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2015,1,7.3442860224857025,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2015,1,8.980453448827538,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2015,1,1.5129952446584718,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2015,1,8.39637044375,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2015,1,7.842882795627259,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2015,1,3.0593671439228576,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2015,1,4.581831884139723,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2015,1,3.212674344232909,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2015,1,7.2582870867392915,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2015,1,1.066771674426937,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2015,1,13.77111969080807,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2015,1,24.80015174134698,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2015,1,25.380118944772622,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2015,1,9.60022611227918,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2015,2,15.051189727218503,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2015,2,46.03561485009116,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2015,2,21.660378442726024,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2015,2,11.540463615434804,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2015,2,29.183909549136303,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2015,2,7.526714188737819,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2015,2,13.626704560692495,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2015,2,26.20463449519433,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2015,2,17.434990121164656,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2015,2,22.762757179690187,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2015,2,10.262433318936456,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2015,2,1.440702442508728,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2015,2,33.30123730952735,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2015,2,10.392861779053586,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2015,2,24.46698042718942,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2015,2,24.27462616802783,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2015,2,13.052843664772702,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2015,2,15.248027183134225,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2015,2,25.07797622107903,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2015,2,45.43401435510152,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2015,2,8.579477015822837,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2015,2,1.9846053166486104,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2015,2,30.51190465224332,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2015,2,16.036933510888986,1244606.9300988333,305658.1265369256
