ISO3,COUNTRY,ADM_NAME,year,month,lst_c,data_status
ETH,Ethiopia,Debub Mirab Shewa,2024,3,30.363201512067487,original
ETH,Ethiopia,Debub Omo,2024,3,33.988857683375514,original
ETH,Ethiopia,Debub Wollo,2024,3,31.52534427459375,original
ETH,Ethiopia,Debubawi,2024,3,33.85711687724069,original
ETH,Ethiopia,Fafan,2024,3,38.82420444115469,original
ETH,Ethiopia,Gamo Gofa,2024,3,30.35702959160417,original
ETH,Ethiopia,Guji,2024,3,31.43607761933596,original
ETH,Ethiopia,Gurage,2024,3,28.350274046409563,original
ETH,Ethiopia,Hadiya,2024,3,28.918695274325295,original
ETH,Ethiopia,Horo Guduru,2024,3,32.394167476156895,original
ETH,Ethiopia,Ilubabor,2024,3,28.25166137232436,original
ETH,Ethiopia,Jimma,2024,3,27.218980650055563,original
ETH,Ethiopia,Keffa,2024,3,25.61520299145305,original
ETH,Ethiopia,Kelem Wellega,2024,3,32.01090998084342,original
ETH,Ethiopia,Mehakelegnaw,2024,3,37.93431200622121,original
ETH,Ethiopia,Mirab Arsi,2024,3,26.89916448874484,original
ETH,Ethiopia,Mirab Gojjam,2024,3,33.82669499779941,original
ETH,Ethiopia,Mirab Hararghe,2024,3,34.93997081862874,original
ETH,Ethiopia,Mirab Shewa,2024,3,30.11607363566849,original
ETH,Ethiopia,Mirab Welega,2024,3,32.90077592845153,original
ETH,Ethiopia,Misraq Gojjam,2024,3,34.32300422302929,original
ETH,Ethiopia,Misraq Harerge,2024,3,35.675959608254935,original
ETH,Ethiopia,Misraq Shewa,2024,3,32.872444885361595,original
ETH,Ethiopia,Misraq Wellega,2024,3,34.44551653051296,original
ETH,Ethiopia,Misraqawi,2024,3,32.26488734591105,original
ETH,Ethiopia,North Shewa,2024,3,30.79149556999921,original
ETH,Ethiopia,Semen Gondar,2024,3,40.54988849982841,original
ETH,Ethiopia,Semen Wello,2024,3,32.79189586295626,original
ETH,Ethiopia,Sidama,2024,3,27.862477766353585,original
ETH,Ethiopia,Silti,2024,3,28.876913454410705,original
ETH,Ethiopia,Wag Himra,2024,3,38.4009576234336,original
ETH,Ethiopia,Agew Awi,2024,4,41.72913482536367,original
ETH,Ethiopia,Alaba,2024,4,28.13666249884229,original
ETH,Ethiopia,Arsi,2024,4,26.28084971419022,original
ETH,Ethiopia,Bale,2024,4,28.665962796394897,original
ETH,Ethiopia,Bench Maji,2024,4,27.46631972399743,original
ETH,Ethiopia,Borena,2024,4,25.87774243701696,original
ETH,Ethiopia,Debub Gondar,2024,4,40.09355694403818,original
ETH,Ethiopia,Debub Mirab Shewa,2024,4,28.738958908839813,original
ETH,Ethiopia,Debub Omo,2024,4,28.6797625435844,original
ETH,Ethiopia,Debub Wollo,2024,4,32.98318983970106,original
ETH,Ethiopia,Debubawi,2024,4,35.14486495423066,original
ETH,Ethiopia,Fafan,2024,4,33.826027814787395,original
ETH,Ethiopia,Gamo Gofa,2024,4,25.04798083351542,original
ETH,Ethiopia,Guji,2024,4,25.061005061555647,original
ETH,Ethiopia,Gurage,2024,4,26.31008115307647,original
ETH,Ethiopia,Hadiya,2024,4,25.47319565146102,original
ETH,Ethiopia,Horo Guduru,2024,4,36.11140350877197,original
ETH,Ethiopia,Ilubabor,2024,4,29.544292378454504,original
ETH,Ethiopia,Jimma,2024,4,27.156874653572537,original
ETH,Ethiopia,Keffa,2024,4,24.49746692398784,original
ETH,Ethiopia,Kelem Wellega,2024,4,32.041874541127655,original
ETH,Ethiopia,Mehakelegnaw,2024,4,40.52283159958978,original
ETH,Ethiopia,Mirab Arsi,2024,4,24.04878952053929,original
